nsnps_per,nsample,sparsity,nblocks,global_malloc_current,global_malloc_peak,global_lasso_malloc_current,global_lasso_malloc_peak,true_met,global_met,single_block_malloc_current,single_block_malloc_peak,block_malloc_current,block_malloc_peak,avg_block_lasso_malloc_current,avg_block_lasso_malloc_peak,unweighted_block_met,block_met
50,15000,0.9,22,0.192110365,0.192497007,0.000442112,0.11597066,0.5682777137864596,0.5544740030406579,0.007806245,0.008167733,0.139806721,0.26580691,250179.27272727274,5248340.454545454,0.5329042169491244,0.5432751464304644
50,20000,0.1,22,0.236710362,0.237217007,0.000441956,0.151202504,0.5721009237910529,0.5900419094199071,0.010406242,0.010887733,0.186406718,0.354406907,251175.77272727274,6881366.136363637,0.335770793909094,0.5876851548207304
50,20000,0.5,22,0.236710362,0.237217007,0.00044206,0.151202608,0.5733054030015677,0.5556032344481874,0.010406242,0.010887733,0.186406717,0.354406907,250597.86363636365,6880759.045454546,0.5199754345540518,0.550579354358833
50,20000,0.9,22,0.236710363,0.237217007,0.000442059,0.151202608,0.5687521593183054,0.5642433774527364,0.010406242,0.010887733,0.186406716,0.354406907,249575.5,6879749.136363637,0.5327378768212923,0.5551662501209041
100,5000,0.1,22,0.147007172,0.147180207,0.000882059,0.110213008,0.5702025780720279,0.5795851060926465,0.004610652,0.004733333,0.092611128,0.176611317,480673.9090909091,3921591.0,0.45645076067085344,0.5678397356195949
100,5000,0.5,22,0.147007103,0.147180207,0.000882006,0.110212956,0.583042014129631,0.5064574745329408,0.00461065,0.004733333,0.092611125,0.176611314,481080.5909090909,3921998.3181818184,0.41392599632298294,0.45176104603135003
100,5000,0.9,22,0.147007117,0.147180154,0.000882059,0.110213136,0.5486634873202282,0.49736704419261707,0.00461065,0.004733333,0.092611125,0.176611314,480968.0909090909,3921865.227272727,0.4150704217847345,0.43943900874824987
100,10000,0.1,22,0.2356071,0.235900207,0.000882059,0.180645008,0.5674839794608066,0.5764460581809425,0.009210647,0.009453333,0.185211123,0.353211312,480105.13636363635,7153039.454545454,0.527353635879954,0.5583549898373443
100,10000,0.5,22,0.235607677,0.235900207,0.000882006,0.180644956,0.572297521472989,0.5705563714510737,0.009210645,0.009453333,0.185211729,0.35321131,480401.7272727273,7153301.954545454,0.5247927154207987,0.5444229619464981
100,10000,0.9,22,0.235607112,0.235900154,0.000882058,0.180645008,0.5659316148901216,0.5579452531434289,0.009210645,0.009453333,0.185212721,0.35321131,480491.3181818182,7153388.590909091,0.5019672577585879,0.5387750787408796
100,15000,0.1,22,0.324209627,0.324620207,0.000882111,0.25107706,0.5715803822260072,0.5664217662310409,0.013810643,0.014173333,0.277811119,0.529811308,481875.9090909091,10386799.409090908,0.5114897948743037,0.5573494153110427
100,15000,0.5,22,0.324207166,0.324620207,0.00088211,0.25107706,0.5730891781967054,0.5374166157264681,0.013810646,0.014173333,0.277811121,0.529811311,479239.2272727273,10384339.136363637,0.5080393210814929,0.519698345399897
100,15000,0.9,22,0.324207166,0.324620207,0.000882007,0.251076956,0.5659613806371006,0.5689637629521391,0.013810646,0.014173333,0.277811121,0.529811311,480128.0909090909,10384962.727272727,0.5219342381580829,0.538972086150797
100,20000,0.1,22,0.412807095,0.413340207,0.000882111,0.32150906,0.5715526195029166,0.5743030399678788,0.018410642,0.018893333,0.370411118,0.706411307,481353.2272727273,13618142.727272727,0.5091457585761988,0.5713813268131421
100,20000,0.5,22,0.412807162,0.413340207,0.000882058,0.321509008,0.5769995727742089,0.5762687463321796,0.018410642,0.018893333,0.370411118,0.706411307,481662.8181818182,13618418.863636363,0.5396379192765411,0.5554519491236097
